eid,target_prefix,bin_start,bin_end,bin_idx,time,n_trials,n_units,n_active_units,status,J_obs,expected_null_J,compensated_logratio
69c9a415-f7fa-4208-887b-1417c1479b48,VISl,0.0,0.03,0,0.015,637,141,141,ok,1.7918906045681424,10.296856030260926,-1.7485673427285882
69c9a415-f7fa-4208-887b-1417c1479b48,VISl,0.01,0.04,1,0.025,637,133,133,ok,1.5284198996017326,11.281035055279197,-1.998888545682924
69c9a415-f7fa-4208-887b-1417c1479b48,VISl,0.02,0.05,2,0.035,637,134,134,ok,1.3085478312206236,10.405932760021397,-2.073458104634428
69c9a415-f7fa-4208-887b-1417c1479b48,VISl,0.03,0.06,3,0.045,637,137,137,ok,1.2288589563336065,7.789566740169223,-1.846699179851953
69c9a415-f7fa-4208-887b-1417c1479b48,VISl,0.04,0.07,4,0.05500000000000001,637,141,141,ok,1.3372095980212764,9.639973515114084,-1.9753333079852031
69c9a415-f7fa-4208-887b-1417c1479b48,VISl,0.05,0.08,5,0.065,637,140,140,ok,1.552258765606835,12.10103974809505,-2.0535802402257604
69c9a415-f7fa-4208-887b-1417c1479b48,VISl,0.06,0.09,6,0.075,637,136,136,ok,1.8556063619715701,15.156420354643826,-2.1002127055537283
69c9a415-f7fa-4208-887b-1417c1479b48,VISl,0.07,0.1,7,0.085,637,135,135,ok,1.4869603589852105,14.165430593098877,-2.2540705224635493
872ce8ff-9fb3-485c-be00-bc5479e0095b,VISl,0.0,0.03,0,0.015,443,175,175,ok,3.1769910943844293,5.034826898045412,-0.46044459371581536
872ce8ff-9fb3-485c-be00-bc5479e0095b,VISl,0.01,0.04,1,0.025,443,177,177,ok,3.023183405004723,5.297430533414208,-0.5609115141630265
872ce8ff-9fb3-485c-be00-bc5479e0095b,VISl,0.02,0.05,2,0.035,443,182,182,ok,3.7044418168512983,10.147130344141608,-1.0076583501206278
872ce8ff-9fb3-485c-be00-bc5479e0095b,VISl,0.03,0.06,3,0.045,443,184,184,ok,5.549953853725809,19.250938892346063,-1.2437702200929874
872ce8ff-9fb3-485c-be00-bc5479e0095b,VISl,0.04,0.07,4,0.05500000000000001,443,183,183,ok,6.992272263116131,23.242938478191356,-1.2011957877045973
872ce8ff-9fb3-485c-be00-bc5479e0095b,VISl,0.05,0.08,5,0.065,443,183,183,ok,7.4224460385714535,24.180528795589687,-1.1810390564295254
872ce8ff-9fb3-485c-be00-bc5479e0095b,VISl,0.06,0.09,6,0.075,443,182,182,ok,8.928717067530384,38.13676045056331,-1.4519059390772637
872ce8ff-9fb3-485c-be00-bc5479e0095b,VISl,0.07,0.1,7,0.085,443,174,174,ok,14.153369764369463,64.32322914395357,-1.5139680863341767
b22f694e-4a34-4142-ab9d-2556c3487086,VISl,0.0,0.03,0,0.015,433,51,51,ok,0.8117126016074656,1.965334045042538,-0.8842711687290891
b22f694e-4a34-4142-ab9d-2556c3487086,VISl,0.01,0.04,1,0.025,433,52,52,ok,0.6896972117692777,1.348930632176226,-0.6708147554650298
b22f694e-4a34-4142-ab9d-2556c3487086,VISl,0.02,0.05,2,0.035,433,51,51,ok,0.7282421672056018,1.3185017850685867,-0.5936177195132982
b22f694e-4a34-4142-ab9d-2556c3487086,VISl,0.03,0.06,3,0.045,433,51,51,ok,0.9285986982395107,1.6875802698689086,-0.597374315213058
b22f694e-4a34-4142-ab9d-2556c3487086,VISl,0.04,0.07,4,0.05500000000000001,433,48,48,ok,0.8977352280426232,1.8020978182706404,-0.6968315413152747
b22f694e-4a34-4142-ab9d-2556c3487086,VISl,0.05,0.08,5,0.065,433,48,48,ok,1.0056682315706333,2.5255469572106257,-0.9208054283926403
b22f694e-4a34-4142-ab9d-2556c3487086,VISl,0.06,0.09,6,0.075,433,47,47,ok,0.7150219125684164,1.5319184568723125,-0.7619629331260657
b22f694e-4a34-4142-ab9d-2556c3487086,VISl,0.07,0.1,7,0.085,433,51,51,ok,0.9868899274058796,2.0417172663350533,-0.7269880191194875
5285c561-80da-4563-8694-739da92e5dd0,VISl,0.0,0.03,0,0.015,563,134,134,ok,2.4648226482535573,13.28141799713633,-1.6842460583047223
5285c561-80da-4563-8694-739da92e5dd0,VISl,0.01,0.04,1,0.025,563,136,136,ok,3.181668122399799,17.628201640935032,-1.7120943595403273
5285c561-80da-4563-8694-739da92e5dd0,VISl,0.02,0.05,2,0.035,563,140,140,ok,3.456093103778907,26.502598403746763,-2.0371039908270925
5285c561-80da-4563-8694-739da92e5dd0,VISl,0.03,0.06,3,0.045,563,139,139,ok,3.896076074266458,21.960955499663783,-1.729296214769664
5285c561-80da-4563-8694-739da92e5dd0,VISl,0.04,0.07,4,0.05500000000000001,563,137,137,ok,3.319876947959368,15.589007980229393,-1.5466383308706892
5285c561-80da-4563-8694-739da92e5dd0,VISl,0.05,0.08,5,0.065,563,135,135,ok,3.153701772542027,12.463154918736388,-1.3741997563025945
5285c561-80da-4563-8694-739da92e5dd0,VISl,0.06,0.09,6,0.075,563,136,136,ok,3.7518481586966237,14.048023133449428,-1.3202331227401416
5285c561-80da-4563-8694-739da92e5dd0,VISl,0.07,0.1,7,0.085,563,135,135,ok,4.7426431987304465,17.7529900320601,-1.3199593370970324
d901aff5-2250-467a-b4a1-0cb9729df9e2,VISl,0.0,0.03,0,0.015,458,15,15,ok,0.341746787853857,0.8023949206599686,-0.8535308299941967
d901aff5-2250-467a-b4a1-0cb9729df9e2,VISl,0.01,0.04,1,0.025,458,15,15,ok,0.3313137214631314,0.6659900778696621,-0.6982090468543252
d901aff5-2250-467a-b4a1-0cb9729df9e2,VISl,0.02,0.05,2,0.035,458,15,15,ok,0.251449164302689,0.38704655322075937,-0.4313041392557322
d901aff5-2250-467a-b4a1-0cb9729df9e2,VISl,0.03,0.06,3,0.045,458,14,14,ok,0.33867726870081155,0.47635168805865646,-0.3411087776832853
d901aff5-2250-467a-b4a1-0cb9729df9e2,VISl,0.04,0.07,4,0.05500000000000001,458,14,14,ok,0.5915400747087937,0.8334260477753193,-0.34281554121950925
d901aff5-2250-467a-b4a1-0cb9729df9e2,VISl,0.05,0.08,5,0.065,458,15,15,ok,1.0654855619873784,2.7970506524847907,-0.9651349016250226
d901aff5-2250-467a-b4a1-0cb9729df9e2,VISl,0.06,0.09,6,0.075,458,15,15,ok,1.5682337989744017,5.6925135096698085,-1.2892018748914111
d901aff5-2250-467a-b4a1-0cb9729df9e2,VISl,0.07,0.1,7,0.085,458,15,15,ok,2.2063398101329548,10.623717649261216,-1.571754067679024
5d6aa933-4b00-4e99-ae2d-5003657592e9,VISl,0.0,0.03,0,0.015,845,170,170,ok,1.6956576409647333,3.8500649544255867,-0.8200193650827596
5d6aa933-4b00-4e99-ae2d-5003657592e9,VISl,0.01,0.04,1,0.025,845,170,170,ok,2.1760814874937973,4.806161895276735,-0.7923730462326652
5d6aa933-4b00-4e99-ae2d-5003657592e9,VISl,0.02,0.05,2,0.035,845,172,172,ok,1.727327342282034,4.856807692305898,-1.0338060435705623
5d6aa933-4b00-4e99-ae2d-5003657592e9,VISl,0.03,0.06,3,0.045,845,168,168,ok,3.485422643736229,23.240292658626846,-1.8972982128256275
5d6aa933-4b00-4e99-ae2d-5003657592e9,VISl,0.04,0.07,4,0.05500000000000001,845,167,167,ok,5.38781118418312,74.50330195768888,-2.6267042318160403
5d6aa933-4b00-4e99-ae2d-5003657592e9,VISl,0.05,0.08,5,0.065,845,164,164,ok,6.991299292061872,105.77157523650189,-2.7166154006007566
5d6aa933-4b00-4e99-ae2d-5003657592e9,VISl,0.06,0.09,6,0.075,845,165,165,ok,11.705734534740072,114.6154639858204,-2.2815038810684385
5d6aa933-4b00-4e99-ae2d-5003657592e9,VISl,0.07,0.1,7,0.085,845,165,165,ok,12.9102397235586,87.71444009598311,-1.916065765628895
6c6983ef-7383-4989-9183-32b1a300d17a,VISl,0.0,0.03,0,0.015,635,53,53,ok,0.763646892838893,2.056415966331543,-0.9906144241867343
6c6983ef-7383-4989-9183-32b1a300d17a,VISl,0.01,0.04,1,0.025,635,53,53,ok,0.779940335852391,2.3649555563579714,-1.1092970842508103
6c6983ef-7383-4989-9183-32b1a300d17a,VISl,0.02,0.05,2,0.035,635,52,52,ok,0.8604347798395584,2.1508225746315563,-0.9161678213544506
6c6983ef-7383-4989-9183-32b1a300d17a,VISl,0.03,0.06,3,0.045,635,52,52,ok,0.7944974468926912,1.9148297884461107,-0.8796742418516138
