eid,pid,target_prefix,status,error,n_trials,n_units,n_contrasts,contrast_counts,seed,min_trials,alpha,balanced_test_mse,balanced_test_r2
b22f694e-4a34-4142-ab9d-2556c3487086,,VISam,failed,RuntimeError('Only 1 VISam units; requires 5'),,,,,0,10,1.0,,
73918ae1-e4fd-4c18-b132-00cb555b1ad2,0851db85-2889-4070-ac18-a40e8ebd96ba,VISam,ok,,625,113,9,"{""-1.0"": 57, ""-0.25"": 81, ""-0.125"": 84, ""-0.0625"": 74, ""0.0"": 66, ""0.0625"": 65, ""0.125"": 62, ""0.25"": 67, ""1.0"": 69}",0,10,1.0,0.2852975354257341,-0.18650816177056173
f304211a-81b1-446f-a435-25e589fe3a5a,94761f31-0dfc-4f67-87ef-6d1ac7f95144,VISam,ok,,1016,119,9,"{""-1.0"": 107, ""-0.25"": 99, ""-0.125"": 114, ""-0.0625"": 111, ""0.0"": 122, ""0.0625"": 112, ""0.125"": 126, ""0.25"": 118, ""1.0"": 107}",0,10,1.0,0.2090807887142883,0.1304654563218045
10fac7a1-919d-4ca7-83c4-4675bd8d9416,594664af-9033-4651-861d-2be9277c9866,VISam,ok,,546,262,9,"{""-1.0"": 57, ""-0.25"": 50, ""-0.125"": 66, ""-0.0625"": 60, ""0.0"": 65, ""0.0625"": 60, ""0.125"": 63, ""0.25"": 63, ""1.0"": 62}",0,10,1.0,0.6283136638847524,-1.6130589920405578
a2b9fbbe-79fc-4166-a16e-b307813a2f06,d552cffa-b662-40bd-b1e3-98d0a8face2c,VISam,ok,,469,101,9,"{""-1.0"": 51, ""-0.25"": 49, ""-0.125"": 62, ""-0.0625"": 54, ""0.0"": 55, ""0.0625"": 45, ""0.125"": 50, ""0.25"": 55, ""1.0"": 48}",0,10,1.0,0.49463705859025275,-1.0571187418627122
9b528ad0-4599-4a55-9148-96cc1d93fb24,485b50c8-71e1-4654-9a07-64395c15f5ed,VISam,ok,,581,37,9,"{""-1.0"": 53, ""-0.25"": 59, ""-0.125"": 61, ""-0.0625"": 46, ""0.0"": 71, ""0.0625"": 67, ""0.125"": 71, ""0.25"": 72, ""1.0"": 81}",0,10,1.0,0.3919444131526235,-0.630035970945207
3bcb81b4-d9ca-4fc9-a1cd-353a966239ca,d004f105-9886-4b83-a59a-f9173131a383,VISam,ok,,664,141,9,"{""-1.0"": 72, ""-0.25"": 63, ""-0.125"": 84, ""-0.0625"": 74, ""0.0"": 88, ""0.0625"": 66, ""0.125"": 76, ""0.25"": 71, ""1.0"": 70}",0,10,1.0,0.1670454814584377,0.3052837738623819
6c6b0d06-6039-4525-a74b-58cfaa1d3a60,3fded122-619c-4e65-aadd-d5420978d167,VISam,ok,,1004,161,9,"{""-1.0"": 110, ""-0.25"": 86, ""-0.125"": 105, ""-0.0625"": 109, ""0.0"": 134, ""0.0625"": 120, ""0.125"": 115, ""0.25"": 109, ""1.0"": 116}",0,10,1.0,0.30632515626198253,-0.2739587726130104
239dd3c9-35f3-4462-95ee-91b822a22e6b,e40193d5-8158-40a1-924b-5a01ed2565dc,VISam,ok,,414,51,9,"{""-1.0"": 35, ""-0.25"": 39, ""-0.125"": 45, ""-0.0625"": 35, ""0.0"": 49, ""0.0625"": 52, ""0.125"": 51, ""0.25"": 51, ""1.0"": 57}",0,10,1.0,0.3987038119710112,-0.6581472613379238
dd4da095-4a99-4bf3-9727-f735077dba66,8f2e16c4-893b-4f8f-bfb2-94fa452710ec,VISam,ok,,406,138,9,"{""-1.0"": 45, ""-0.25"": 42, ""-0.125"": 54, ""-0.0625"": 48, ""0.0"": 52, ""0.0625"": 37, ""0.125"": 40, ""0.25"": 48, ""1.0"": 40}",0,10,1.0,0.6118730425577824,-1.5446850000959036
824cf03d-4012-4ab1-b499-c83a92c5589e,c07d13ed-e387-4457-8e33-1d16aed3fd92,VISam,ok,,764,8,9,"{""-1.0"": 69, ""-0.25"": 70, ""-0.125"": 72, ""-0.0625"": 60, ""0.0"": 91, ""0.0625"": 98, ""0.125"": 99, ""0.25"": 99, ""1.0"": 106}",0,10,1.0,0.2463544572326389,-0.02454994488086637
