eid,pid,target_prefix,status,error,n_trials,n_units,n_contrasts,contrast_counts,seed,min_trials,alpha,balanced_test_mse,balanced_test_r2
69c9a415-f7fa-4208-887b-1417c1479b48,72274871-80e5-4fb9-be1a-bb04acebb1de,VISl,ok,,637,163,9,"{""-1.0"": 70, ""-0.25"": 61, ""-0.125"": 81, ""-0.0625"": 72, ""0.0"": 82, ""0.0625"": 64, ""0.125"": 71, ""0.25"": 68, ""1.0"": 68}",0,10,1.0,0.450081136847887,-0.8718175799594443
872ce8ff-9fb3-485c-be00-bc5479e0095b,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,VISl,ok,,443,193,9,"{""-1.0"": 54, ""-0.25"": 51, ""-0.125"": 46, ""-0.0625"": 64, ""0.0"": 47, ""0.0625"": 40, ""0.125"": 43, ""0.25"": 50, ""1.0"": 48}",0,10,1.0,1.2461749831719604,-4.182648305466059
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISl,ok,,433,61,9,"{""-1.0"": 41, ""-0.25"": 44, ""-0.125"": 41, ""-0.0625"": 34, ""0.0"": 46, ""0.0625"": 58, ""0.125"": 61, ""0.25"": 52, ""1.0"": 56}",0,10,1.0,0.36829601750108076,-0.5316859644810288
5285c561-80da-4563-8694-739da92e5dd0,f698f893-da01-49a1-ae4b-16f7e42e5ff5,VISl,ok,,563,147,9,"{""-1.0"": 67, ""-0.25"": 56, ""-0.125"": 53, ""-0.0625"": 67, ""0.0"": 62, ""0.0625"": 64, ""0.125"": 68, ""0.25"": 67, ""1.0"": 59}",0,10,1.0,0.5244867011344394,-1.1812587715049605
d901aff5-2250-467a-b4a1-0cb9729df9e2,12c0f3a9-518e-4dac-9651-5d95c2b4730f,VISl,ok,,458,16,9,"{""-1.0"": 56, ""-0.25"": 46, ""-0.125"": 49, ""-0.0625"": 59, ""0.0"": 54, ""0.0625"": 60, ""0.125"": 38, ""0.25"": 53, ""1.0"": 43}",0,10,1.0,0.24698668659685807,-0.027179288662745105
5d6aa933-4b00-4e99-ae2d-5003657592e9,61ed1a53-2f33-4a83-82ba-ec7dfa65bf60,VISl,ok,,845,183,9,"{""-1.0"": 92, ""-0.25"": 77, ""-0.125"": 92, ""-0.0625"": 91, ""0.0"": 109, ""0.0625"": 99, ""0.125"": 98, ""0.25"": 90, ""1.0"": 97}",0,10,1.0,0.24879070637734838,-0.034681926883413094
6c6983ef-7383-4989-9183-32b1a300d17a,c0c3c95d-43c3-4e30-9ce7-0519d0473911,VISl,ok,,635,63,9,"{""-1.0"": 78, ""-0.25"": 63, ""-0.125"": 64, ""-0.0625"": 76, ""0.0"": 73, ""0.0625"": 69, ""0.125"": 74, ""0.25"": 70, ""1.0"": 68}",0,10,1.0,0.2216261703768364,0.07829116146528659
1ec23a70-b94b-4e9c-a0df-8c2151da3761,91fb4ed3-ee27-4d7e-ba5d-f61202ed9884,VISl,ok,,1193,250,9,"{""-1.0"": 131, ""-0.25"": 138, ""-0.125"": 131, ""-0.0625"": 140, ""0.0"": 147, ""0.0625"": 124, ""0.125"": 120, ""0.25"": 138, ""1.0"": 124}",0,10,1.0,1.0349063572658,-3.3040148865350245
fcd49e34-f07b-441c-b2ac-cb8c462ec5ac,ece878b9-830d-4618-b801-ad0e7d8e7085,VISl,ok,,1278,94,9,"{""-1.0"": 149, ""-0.25"": 132, ""-0.125"": 129, ""-0.0625"": 140, ""0.0"": 137, ""0.0625"": 152, ""0.125"": 138, ""0.25"": 139, ""1.0"": 162}",0,10,1.0,0.24441780039540145,-0.01649568973105575
35ed605c-1a1a-47b1-86ff-2b56144f55af,85bdeae3-269b-4e39-bd9b-2b0d95aff2fa,VISl,ok,,522,346,9,"{""-1.0"": 62, ""-0.25"": 59, ""-0.125"": 50, ""-0.0625"": 70, ""0.0"": 59, ""0.0625"": 50, ""0.125"": 49, ""0.25"": 61, ""1.0"": 62}",0,10,1.0,1.6320183776296087,-5.787311086748408
a405053a-eb13-4aa4-850c-5a337e5dc7fd,afecbc7f-10e3-40af-b091-cca9e8df6108,VISl,ok,,615,383,9,"{""-1.0"": 66, ""-0.25"": 73, ""-0.125"": 59, ""-0.0625"": 76, ""0.0"": 73, ""0.0625"": 58, ""0.125"": 62, ""0.25"": 74, ""1.0"": 74}",0,10,1.0,2.003811430362019,-7.333540677895474
3c851386-e92d-4533-8d55-89a46f0e7384,c16b8e98-100f-40ce-b417-b1524c7e1270,VISl,ok,,403,110,9,"{""-1.0"": 45, ""-0.25"": 49, ""-0.125"": 41, ""-0.0625"": 63, ""0.0"": 38, ""0.0625"": 36, ""0.125"": 41, ""0.25"": 44, ""1.0"": 46}",0,10,1.0,0.5176724146098629,-1.1529192116626792
