eid,pid,target_prefix,status,error,n_trials,n_left,n_right,n_zero,left_fraction,n_total_units
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,ok,,653,328,254,71,0.563573883161512,13
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,ok,,688,249,356,83,0.4115702479338843,58
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,ok,,692,295,313,84,0.48519736842105265,146
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,VISp,ok,,655,242,333,80,0.42086956521739133,134
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,ok,,443,215,181,47,0.5429292929292929,120
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISp,ok,,433,160,227,46,0.4134366925064599,429
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,769b42dc-acf3-4079-b09e-ec979568d297,VISp,ok,,972,403,439,130,0.47862232779097386,267
dc21e80d-97d7-44ca-a729-a8e3f9b14305,176b4fe3-f570-4d9f-9e25-a5d218f75c8b,VISp,ok,,1111,481,488,142,0.49638802889576883,41
09394481-8dd2-4d5c-9327-f2753ede92d7,da57bb3a-b0f2-465d-a5fc-cc84341450b0,VISp,ok,,912,452,358,102,0.5580246913580247,32
58b1e920-cfc8-467e-b28b-7654a55d0977,1f555fc6-5067-428b-a284-da6fb0b6b3a0,VISp,ok,,728,340,305,83,0.5271317829457365,146
86b6ba67-c1db-4333-add0-f8105ea6e363,fcc167d6-cb53-4dc7-a58f-06a53cfabc84,VISp,ok,,565,299,203,63,0.5956175298804781,1
952870e5-f2a7-4518-9e6d-71585460f6fe,19137f8d-0f3b-4923-93ad-f741758e1b2e,VISp,ok,,906,425,382,99,0.5266418835192069,110
2584ce3c-db10-4076-89cb-5d313138dd38,b114e7e0-92b3-43bb-9529-53860e52606d,VISp,ok,,712,333,304,75,0.5227629513343799,451
9a6e127b-bb07-4be2-92e2-53dd858c2762,e5bc1f00-f4b8-4b35-a9b6-60d9cc7959a1,VISp,ok,,653,292,276,85,0.5140845070422535,3
b887df2c-bb9c-44c9-a9c0-538da87b2cab,59b7a543-8827-4157-a4f6-d5d0e50fdf39,VISp,ok,,478,220,202,56,0.5213270142180095,3
d901aff5-2250-467a-b4a1-0cb9729df9e2,12c0f3a9-518e-4dac-9651-5d95c2b4730f,VISp,ok,,458,210,194,54,0.5198019801980198,141
e0928e11-2b86-4387-a203-80c77fab5d52,799d899d-c398-4e81-abaf-1ef4b02d5475,VISp,ok,,474,204,211,59,0.491566265060241,166
7cc74598-9c1b-436b-84fa-0bf89f31adf6,27109779-1b15-4d74-893f-08216d231307,VISp,ok,,526,196,269,61,0.421505376344086,56
5c0c560e-9e1f-45e9-b66e-e4ee7855be84,d5e5311c-8beb-4f8f-b798-3e9bfa6bcdd8,VISp,ok,,1099,425,542,132,0.43950361944157185,490
f56194bc-8215-4ae8-bc6a-89781ad8e050,18d316bf-d322-4c5c-814e-a58147f7bf5f,VISp,ok,,696,296,316,84,0.48366013071895425,194
642c97ea-fe89-4ec9-8629-5e492ea4019d,b72b22c2-6e9d-4604-9910-20c0e1a467d7,VISp,ok,,489,224,209,56,0.5173210161662818,504
caa5dddc-9290-4e27-9f5e-575ba3598614,4836a465-c691-4852-a0b1-dcd2b1ce38a1,VISp,ok,,404,153,205,46,0.4273743016759777,182
c4432264-e1ae-446f-8a07-6280abade813,63a32e5c-f63a-450d-85cb-140947b67eaf,VISp,ok,,848,353,385,110,0.47831978319783197,40
09b2c4d1-058d-4c84-9fd4-97530f85baf6,b78b3c42-eee5-47c6-9717-743b78c0b721,VISp,ok,,598,222,305,71,0.42125237191650855,264
239dd3c9-35f3-4462-95ee-91b822a22e6b,1f5d62cb-814f-4ab2-b6af-7557ea04d56a,VISp,ok,,414,154,211,49,0.42191780821917807,236
7dd27c2f-9544-448d-918d-be0f9837b0e0,d3507787-60c8-4cea-a61e-0c708b4361d8,VISp,ok,,525,242,224,59,0.51931330472103,95
ca4ecb4c-4b60-4723-9b9e-2c54a6290a53,92822789-608f-44a6-ad64-fe549402b2df,VISp,ok,,620,267,271,82,0.4962825278810409,232
3f71aa98-08c6-4e79-b4c8-00eae4f03eff,17fa2600-6349-4b6f-a7e4-d8ea5558fa12,VISp,ok,,672,244,346,82,0.4135593220338983,5
5ae68c54-2897-4d3a-8120-426150704385,a8a59fc3-a658-4db4-b5e8-09f1e4df03fd,VISp,ok,,740,321,330,89,0.4930875576036866,215
