eid,pid,target_prefix,status,error,n_total_units,n_grid_points,epsilon,se_intercept,p_value,slope
b22f694e-4a34-4142-ab9d-2556c3487086,,VISam,failed,ValueError('n_total=1 is below the floor n_min=20'),,,,,,
73918ae1-e4fd-4c18-b132-00cb555b1ad2,0851db85-2889-4070-ac18-a40e8ebd96ba,VISam,ok,,113,15,0.18397420673433373,0.0019267645345785445,0.0,1.0414254180125964
f304211a-81b1-446f-a435-25e589fe3a5a,94761f31-0dfc-4f67-87ef-6d1ac7f95144,VISam,ok,,119,15,0.14443225316732622,0.0025404942322932544,0.0,2.1244834627453666
10fac7a1-919d-4ca7-83c4-4675bd8d9416,594664af-9033-4651-861d-2be9277c9866,VISam,ok,,262,15,0.15312883191476198,0.002807893243080545,0.0,1.8214663611515118
a2b9fbbe-79fc-4166-a16e-b307813a2f06,d552cffa-b662-40bd-b1e3-98d0a8face2c,VISam,ok,,101,15,0.23607377994803444,0.00040742313572878636,0.0,0.1183685738628149
9b528ad0-4599-4a55-9148-96cc1d93fb24,485b50c8-71e1-4654-9a07-64395c15f5ed,VISam,ok,,37,15,0.24246961896152258,0.000326970668543891,0.0,-0.01869292725278555
3bcb81b4-d9ca-4fc9-a1cd-353a966239ca,d004f105-9886-4b83-a59a-f9173131a383,VISam,ok,,141,15,0.10479962031075242,0.0006288590201643652,0.0,1.1093436721651608
6c6b0d06-6039-4525-a74b-58cfaa1d3a60,3fded122-619c-4e65-aadd-d5420978d167,VISam,ok,,161,15,0.23332731829138087,0.0005189516630960852,0.0,0.13639599297941504
239dd3c9-35f3-4462-95ee-91b822a22e6b,e40193d5-8158-40a1-924b-5a01ed2565dc,VISam,ok,,51,15,0.24274055505137102,0.00033130856729582066,0.0,-0.028421397040956958
dd4da095-4a99-4bf3-9727-f735077dba66,8f2e16c4-893b-4f8f-bfb2-94fa452710ec,VISam,ok,,138,15,0.23679622599302597,0.0004140103852978366,0.0,0.06319896207493472
824cf03d-4012-4ab1-b499-c83a92c5589e,,VISam,failed,ValueError('n_total=8 is below the floor n_min=20'),,,,,,
