eid,pid,target_prefix,status,error,n_total_units,n_grid_points,epsilon,se_intercept,p_value,slope
69c9a415-f7fa-4208-887b-1417c1479b48,72274871-80e5-4fb9-be1a-bb04acebb1de,VISl,ok,,163,15,0.24010627014386873,0.00015483796906774592,0.0,0.0006233084574373704
872ce8ff-9fb3-485c-be00-bc5479e0095b,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,VISl,ok,,193,15,0.15752458049010812,0.0007100563599824559,0.0,0.6267340748340633
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISl,ok,,61,15,0.24209833901426012,0.00023148998510943002,0.0,-0.026047588992743863
5285c561-80da-4563-8694-739da92e5dd0,f698f893-da01-49a1-ae4b-16f7e42e5ff5,VISl,ok,,147,15,0.23130005042604276,0.0005886087938110924,0.0,0.16207336903676886
d901aff5-2250-467a-b4a1-0cb9729df9e2,,VISl,failed,ValueError('n_total=16 is below the floor n_min=20'),,,,,,
5d6aa933-4b00-4e99-ae2d-5003657592e9,61ed1a53-2f33-4a83-82ba-ec7dfa65bf60,VISl,ok,,183,15,0.13997826808410185,0.0015681102842589013,0.0,1.7911496805678686
6c6983ef-7383-4989-9183-32b1a300d17a,c0c3c95d-43c3-4e30-9ce7-0519d0473911,VISl,ok,,63,15,0.19499528194546328,0.001339374114920074,0.0,0.5378418297327346
1ec23a70-b94b-4e9c-a0df-8c2151da3761,91fb4ed3-ee27-4d7e-ba5d-f61202ed9884,VISl,ok,,250,15,0.14413526292960416,0.005009662773528513,3.7125857943465235e-13,1.8975844196356304
fcd49e34-f07b-441c-b2ac-cb8c462ec5ac,ece878b9-830d-4618-b801-ad0e7d8e7085,VISl,ok,,94,15,0.2200171282287849,0.0010896415748637143,0.0,0.39067977750116073
35ed605c-1a1a-47b1-86ff-2b56144f55af,85bdeae3-269b-4e39-bd9b-2b0d95aff2fa,VISl,ok,,346,15,0.2418675981101917,0.00020425039326959346,0.0,-0.0289755849035958
a405053a-eb13-4aa4-850c-5a337e5dc7fd,afecbc7f-10e3-40af-b091-cca9e8df6108,VISl,ok,,383,15,0.24157787379235665,0.00012572827040576419,0.0,-0.018742559769499748
3c851386-e92d-4533-8d55-89a46f0e7384,c16b8e98-100f-40ce-b417-b1524c7e1270,VISl,ok,,110,15,0.24117427177784903,0.0003272096952753214,0.0,0.014738345661130638
