eid,pid,target_prefix,shuffle,status,error,n_total_units,n_grid_points,epsilon,se_intercept,p_value,slope
b9c205c3-feac-485b-a89d-afc96d9cb280,,VISp,none,failed,ValueError('n_total=13 is below the floor n_min=20'),,,,,,
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,none,ok,,58,12,0.2406764380979438,0.00019203089086632747,0.0,-0.014487252131882906
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,none,ok,,146,12,0.23790528559411783,0.0002842309902865008,0.0,0.04570771058203045
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,VISp,none,ok,,134,12,0.24111477343629484,0.00016882479451902778,0.0,-0.017899014410094144
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,none,ok,,120,12,0.24179359106121237,0.00016300391630123944,0.0,-0.015514827588819518
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISp,none,ok,,429,12,0.20353878773243914,0.00225427847534429,6.661338147750939e-16,0.7285060831362496
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,769b42dc-acf3-4079-b09e-ec979568d297,VISp,none,ok,,267,12,0.23706212011561476,0.0001967567891935011,0.0,0.051280564317271335
dc21e80d-97d7-44ca-a729-a8e3f9b14305,176b4fe3-f570-4d9f-9e25-a5d218f75c8b,VISp,none,ok,,41,12,0.2412092319796916,0.00012995604502824936,0.0,-0.007140388000984823
09394481-8dd2-4d5c-9327-f2753ede92d7,da57bb3a-b0f2-465d-a5fc-cc84341450b0,VISp,none,ok,,32,12,0.23907647159763049,0.00031249789193813523,0.0,0.02652969763196176
58b1e920-cfc8-467e-b28b-7654a55d0977,1f555fc6-5067-428b-a284-da6fb0b6b3a0,VISp,none,ok,,146,12,0.23452281180761517,0.0006802071407388974,0.0,0.12683657437227688
86b6ba67-c1db-4333-add0-f8105ea6e363,,VISp,none,failed,ValueError('n_total=1 is below the floor n_min=20'),,,,,,
952870e5-f2a7-4518-9e6d-71585460f6fe,19137f8d-0f3b-4923-93ad-f741758e1b2e,VISp,none,ok,,110,12,0.19285429038299473,0.001499209230257665,0.0,0.9516633549675011
