eid,pid,target_prefix,status,error,n_total_units,n_grid_points,identity_epsilon,null_epsilon_mean,null_epsilon_std,percentile_of_identity,n_random
b9c205c3-feac-485b-a89d-afc96d9cb280,,VISp,failed,ValueError('n_total=13 is below the floor n_min=20'),,,,,,,20
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,ok,,58,12,0.22473092608292486,0.172727632032097,0.010036055845901153,100.0,20
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,ok,,146,12,0.21055291314092545,0.18273516058182243,0.009203823282784934,100.0,20
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,VISp,ok,,134,12,0.17537914007130054,0.17165217443756936,0.013856619099956122,60.0,20
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,ok,,120,12,0.1796607294820521,0.16772752018625756,0.013712231692562232,80.0,20
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISp,ok,,429,12,0.1156910697571266,0.09958219796140368,0.005767434823365372,100.0,20
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,769b42dc-acf3-4079-b09e-ec979568d297,VISp,ok,,267,12,0.17324662951357317,0.09906399637755459,0.006554156014840168,100.0,20
dc21e80d-97d7-44ca-a729-a8e3f9b14305,176b4fe3-f570-4d9f-9e25-a5d218f75c8b,VISp,ok,,41,12,0.23237064667843754,0.23177874139026183,0.005729839584430642,30.0,20
09394481-8dd2-4d5c-9327-f2753ede92d7,da57bb3a-b0f2-465d-a5fc-cc84341450b0,VISp,ok,,32,12,0.21514720273887547,0.21205625645297815,0.008035215988411934,60.0,20
58b1e920-cfc8-467e-b28b-7654a55d0977,1f555fc6-5067-428b-a284-da6fb0b6b3a0,VISp,ok,,146,12,0.16273479948318598,0.14387903719620332,0.010557149931478564,100.0,20
86b6ba67-c1db-4333-add0-f8105ea6e363,,VISp,failed,ValueError('n_total=1 is below the floor n_min=20'),,,,,,,20
952870e5-f2a7-4518-9e6d-71585460f6fe,19137f8d-0f3b-4923-93ad-f741758e1b2e,VISp,ok,,110,12,0.159328898229137,0.10034036585078845,0.011726892162893443,100.0,20
2584ce3c-db10-4076-89cb-5d313138dd38,b114e7e0-92b3-43bb-9529-53860e52606d,VISp,ok,,451,12,0.11370311895353137,0.10705263700831018,0.006106977130533749,85.0,20
9a6e127b-bb07-4be2-92e2-53dd858c2762,,VISp,failed,ValueError('n_total=3 is below the floor n_min=20'),,,,,,,20
b887df2c-bb9c-44c9-a9c0-538da87b2cab,,VISp,failed,ValueError('n_total=3 is below the floor n_min=20'),,,,,,,20
d901aff5-2250-467a-b4a1-0cb9729df9e2,12c0f3a9-518e-4dac-9651-5d95c2b4730f,VISp,ok,,141,12,0.08362767304784456,0.050320819403751785,0.005706133843122022,100.0,20
e0928e11-2b86-4387-a203-80c77fab5d52,799d899d-c398-4e81-abaf-1ef4b02d5475,VISp,ok,,166,12,0.08703781345257132,0.059373030748800536,0.004518213951352442,100.0,20
7cc74598-9c1b-436b-84fa-0bf89f31adf6,27109779-1b15-4d74-893f-08216d231307,VISp,ok,,56,12,0.1923793024292973,0.1991388937916188,0.011748441529779245,35.0,20
5c0c560e-9e1f-45e9-b66e-e4ee7855be84,d5e5311c-8beb-4f8f-b798-3e9bfa6bcdd8,VISp,ok,,490,12,0.11812735217743561,0.04200622402954798,0.0037593022160102617,100.0,20
f56194bc-8215-4ae8-bc6a-89781ad8e050,18d316bf-d322-4c5c-814e-a58147f7bf5f,VISp,ok,,194,12,0.12350994228100909,0.10095463629897075,0.006348670281923847,100.0,20
642c97ea-fe89-4ec9-8629-5e492ea4019d,b72b22c2-6e9d-4604-9910-20c0e1a467d7,VISp,ok,,504,12,0.16436533730011357,0.08799706446726976,0.0076805877788015285,100.0,20
caa5dddc-9290-4e27-9f5e-575ba3598614,4836a465-c691-4852-a0b1-dcd2b1ce38a1,VISp,ok,,182,12,0.16723532903063126,0.08292802926397962,0.007311535797859039,100.0,20
c4432264-e1ae-446f-8a07-6280abade813,63a32e5c-f63a-450d-85cb-140947b67eaf,VISp,ok,,40,12,0.2124949242893688,0.20347969111014064,0.006962690978664061,95.0,20
09b2c4d1-058d-4c84-9fd4-97530f85baf6,b78b3c42-eee5-47c6-9717-743b78c0b721,VISp,ok,,264,12,0.10652872740052095,0.08768641774638225,0.00760477598962215,95.0,20
239dd3c9-35f3-4462-95ee-91b822a22e6b,1f5d62cb-814f-4ab2-b6af-7557ea04d56a,VISp,ok,,236,12,0.18451957819789405,0.14139228963814712,0.011437034961912894,100.0,20
7dd27c2f-9544-448d-918d-be0f9837b0e0,d3507787-60c8-4cea-a61e-0c708b4361d8,VISp,ok,,95,12,0.18916406100322042,0.14148039148232416,0.01208230333148143,100.0,20
ca4ecb4c-4b60-4723-9b9e-2c54a6290a53,92822789-608f-44a6-ad64-fe549402b2df,VISp,ok,,232,12,0.18968827303961588,0.1776103137740368,0.006765763252742868,100.0,20
3f71aa98-08c6-4e79-b4c8-00eae4f03eff,,VISp,failed,ValueError('n_total=5 is below the floor n_min=20'),,,,,,,20
