eid,pid,target_prefix,bin_start,bin_end,bin_size,step_size,bin_index,time,status,n_active_units,bin_idx,n_trials,n_units,n_pos,n_neg,overlap_topk,cosine2_top1,expected_random_overlap,expected_random_cosine2,k_eff,n_eff,null_pval
b22f694e-4a34-4142-ab9d-2556c3487086,8abf098f-d4f6-4957-9c0a-f53685db74cc,VISam,0.04,0.09,0.05,0.01,0,0.065,insufficient_active_units,1,,,,,,,,,,,,
b22f694e-4a34-4142-ab9d-2556c3487086,8abf098f-d4f6-4957-9c0a-f53685db74cc,VISam,0.05,0.1,0.05,0.01,1,0.07500000000000001,insufficient_active_units,1,,,,,,,,,,,,
b22f694e-4a34-4142-ab9d-2556c3487086,8abf098f-d4f6-4957-9c0a-f53685db74cc,VISam,0.060000000000000005,0.11000000000000001,0.05,0.01,2,0.085,insufficient_active_units,1,,,,,,,,,,,,
b22f694e-4a34-4142-ab9d-2556c3487086,8abf098f-d4f6-4957-9c0a-f53685db74cc,VISam,0.07,0.12000000000000001,0.05,0.01,3,0.095,insufficient_active_units,1,,,,,,,,,,,,
b22f694e-4a34-4142-ab9d-2556c3487086,8abf098f-d4f6-4957-9c0a-f53685db74cc,VISam,0.08000000000000002,0.13,0.05,0.01,4,0.10500000000000001,insufficient_active_units,1,,,,,,,,,,,,
b22f694e-4a34-4142-ab9d-2556c3487086,8abf098f-d4f6-4957-9c0a-f53685db74cc,VISam,0.09000000000000001,0.14,0.05,0.01,5,0.11500000000000002,insufficient_active_units,1,,,,,,,,,,,,
73918ae1-e4fd-4c18-b132-00cb555b1ad2,0851db85-2889-4070-ac18-a40e8ebd96ba,VISam,0.04,0.09,0.05,0.01,0,0.065,ok,109,0.0,625.0,109.0,136.0,138.0,0.4695669774206386,0.38533147153562786,0.027522935779816515,0.009174311926605505,3.0,109.0,0.0001999600079984003
73918ae1-e4fd-4c18-b132-00cb555b1ad2,0851db85-2889-4070-ac18-a40e8ebd96ba,VISam,0.05,0.1,0.05,0.01,1,0.07500000000000001,ok,109,0.0,625.0,109.0,136.0,138.0,0.4705423306625729,0.36541944466513127,0.027522935779816515,0.009174311926605505,3.0,109.0,0.0001999600079984003
73918ae1-e4fd-4c18-b132-00cb555b1ad2,0851db85-2889-4070-ac18-a40e8ebd96ba,VISam,0.060000000000000005,0.11000000000000001,0.05,0.01,2,0.085,ok,107,0.0,625.0,107.0,136.0,138.0,0.4092159321791961,0.3640081385373674,0.028037383177570093,0.009345794392523364,3.0,107.0,0.0001999600079984003
73918ae1-e4fd-4c18-b132-00cb555b1ad2,0851db85-2889-4070-ac18-a40e8ebd96ba,VISam,0.07,0.12000000000000001,0.05,0.01,3,0.095,ok,109,0.0,625.0,109.0,136.0,138.0,0.3188767322098815,0.23620869014164175,0.027522935779816515,0.009174311926605505,3.0,109.0,0.001999600079984003
