eid,status,error,pid,target_prefix,bin_start,bin_end,bin_size,step_size,bin_idx,time,n_trials,n_units,n_active_units,n_pos,n_neg,overlap_topk,cosine2_top1,expected_random_overlap,expected_random_cosine2,k_eff,n_eff,null_pval
b22f694e-4a34-4142-ab9d-2556c3487086,failed,RuntimeError('Not enough active units for eid=b22f694e-4a34-4142-ab9d-2556c3487086: 1 < 5'),,,,,,,,,,,,,,,,,,,,
73918ae1-e4fd-4c18-b132-00cb555b1ad2,ok,,0851db85-2889-4070-ac18-a40e8ebd96ba,VISam,0.0,0.03,0.03,0.01,0.0,0.015,625.0,110.0,104.0,136.0,138.0,0.23470031595521637,0.010657553510520232,0.02727272727272727,0.00909090909090909,3.0,110.0,0.3987202559488102
73918ae1-e4fd-4c18-b132-00cb555b1ad2,ok,,0851db85-2889-4070-ac18-a40e8ebd96ba,VISam,0.01,0.04,0.03,0.01,1.0,0.025,625.0,110.0,104.0,136.0,138.0,0.13270416415994524,0.030918650360763338,0.02727272727272727,0.00909090909090909,3.0,110.0,0.03579284143171366
73918ae1-e4fd-4c18-b132-00cb555b1ad2,ok,,0851db85-2889-4070-ac18-a40e8ebd96ba,VISam,0.02,0.05,0.03,0.01,2.0,0.035,625.0,110.0,107.0,136.0,138.0,0.18862858572629554,6.655322877341595e-07,0.02727272727272727,0.00909090909090909,3.0,110.0,0.9928014397120576
73918ae1-e4fd-4c18-b132-00cb555b1ad2,ok,,0851db85-2889-4070-ac18-a40e8ebd96ba,VISam,0.03,0.06,0.03,0.01,3.0,0.045,625.0,110.0,109.0,136.0,138.0,0.3108163537314324,0.08079768831149586,0.02727272727272727,0.00909090909090909,3.0,110.0,0.27594481103779245
73918ae1-e4fd-4c18-b132-00cb555b1ad2,ok,,0851db85-2889-4070-ac18-a40e8ebd96ba,VISam,0.04,0.07,0.03,0.01,4.0,0.05500000000000001,625.0,110.0,109.0,136.0,138.0,0.6276153195343928,0.31696421443564754,0.02727272727272727,0.00909090909090909,3.0,110.0,0.0007998400319936012
73918ae1-e4fd-4c18-b132-00cb555b1ad2,ok,,0851db85-2889-4070-ac18-a40e8ebd96ba,VISam,0.05,0.08,0.03,0.01,5.0,0.065,625.0,110.0,106.0,136.0,138.0,0.5639269351222457,0.42398913601209537,0.02727272727272727,0.00909090909090909,3.0,110.0,0.0001999600079984003
73918ae1-e4fd-4c18-b132-00cb555b1ad2,ok,,0851db85-2889-4070-ac18-a40e8ebd96ba,VISam,0.06,0.09,0.03,0.01,6.0,0.075,625.0,110.0,103.0,136.0,138.0,0.4881480689614336,0.424175057042051,0.02727272727272727,0.00909090909090909,3.0,110.0,0.0001999600079984003
73918ae1-e4fd-4c18-b132-00cb555b1ad2,ok,,0851db85-2889-4070-ac18-a40e8ebd96ba,VISam,0.07,0.1,0.03,0.01,7.0,0.085,625.0,110.0,107.0,136.0,138.0,0.4633555041656142,0.3057438707064436,0.02727272727272727,0.00909090909090909,3.0,110.0,0.0003999200159968006
f304211a-81b1-446f-a435-25e589fe3a5a,ok,,94761f31-0dfc-4f67-87ef-6d1ac7f95144,VISam,0.0,0.03,0.03,0.01,0.0,0.015,1016.0,116.0,108.0,225.0,206.0,0.1770390890006405,0.14926643445061114,0.02586206896551724,0.008620689655172414,3.0,116.0,0.007198560287942412
f304211a-81b1-446f-a435-25e589fe3a5a,ok,,94761f31-0dfc-4f67-87ef-6d1ac7f95144,VISam,0.01,0.04,0.03,0.01,1.0,0.025,1016.0,116.0,106.0,225.0,206.0,0.0219597286582459,0.017157573366744675,0.02586206896551724,0.008620689655172414,3.0,116.0,0.2871425714857029
f304211a-81b1-446f-a435-25e589fe3a5a,ok,,94761f31-0dfc-4f67-87ef-6d1ac7f95144,VISam,0.02,0.05,0.03,0.01,2.0,0.035,1016.0,116.0,111.0,225.0,206.0,0.02085344227390423,0.011208347619927372,0.02586206896551724,0.008620689655172414,3.0,116.0,0.2519496100779844
