eid,pid,target_prefix,bin_start,bin_end,bin_size,step_size,bin_idx,time,n_trials,n_units,n_pos,n_neg,overlap_topk,cosine2_top1,expected_random_overlap,expected_random_cosine2,k_eff,n_eff
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.0,0.2,0.2,0.05,0,0.1,653,13,61.0,76.0,0.46555928692614607,0.40218364639662607,0.23076923076923078,0.07692307692307693,3.0,13.0
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.05,0.25,0.2,0.05,1,0.15,653,13,61.0,76.0,0.44598152383633405,0.07938138542183723,0.23076923076923078,0.07692307692307693,3.0,13.0
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.1,0.30000000000000004,0.2,0.05,2,0.2,653,13,61.0,76.0,0.651949649997843,0.034994475158180986,0.23076923076923078,0.07692307692307693,3.0,13.0
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.15000000000000002,0.35000000000000003,0.2,0.05,3,0.25,653,13,61.0,76.0,0.5678973334759547,0.04049042857709595,0.23076923076923078,0.07692307692307693,3.0,13.0
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.0,0.2,0.2,0.05,0,0.1,688,57,96.0,64.0,0.8782273471961917,0.8065271118634035,0.05263157894736842,0.017543859649122806,3.0,57.0
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.05,0.25,0.2,0.05,1,0.15,688,57,96.0,64.0,0.898401355941408,0.8205059826005012,0.05263157894736842,0.017543859649122806,3.0,57.0
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.1,0.30000000000000004,0.2,0.05,2,0.2,688,57,96.0,64.0,0.9324252910072796,0.8601392475147317,0.05263157894736842,0.017543859649122806,3.0,57.0
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.15000000000000002,0.35000000000000003,0.2,0.05,3,0.25,688,57,96.0,64.0,0.928918531764966,0.8868044215016079,0.05263157894736842,0.017543859649122806,3.0,57.0
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.0,0.2,0.2,0.05,0,0.1,692,146,86.0,70.0,0.3323932785537536,1.3468127402365522e-05,0.02054794520547945,0.00684931506849315,3.0,146.0
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.05,0.25,0.2,0.05,1,0.15,692,146,86.0,70.0,0.40094396574756924,0.12897451880971533,0.02054794520547945,0.00684931506849315,3.0,146.0
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.1,0.30000000000000004,0.2,0.05,2,0.2,692,146,86.0,70.0,0.4197501165329666,0.30135838634785134,0.02054794520547945,0.00684931506849315,3.0,146.0
